,SampleID,var1,var2,var3
HB_16_64,HB_16_64,HB,16,64
HB_17_29,HB_17_29,HB,17,29
HB_18_88,HB_18_88,HB,18,88
HB_16_87,HB_16_87,HB,16,87
HB_20_85,HB_20_85,HB,20,85
HB_17_51,HB_17_51,HB,17,51
HB_20_32,HB_20_32,HB,20,32
HB_18_25,HB_18_25,HB,18,25
HB_18_39,HB_18_39,HB,18,39
HB_17_30,HB_17_30,HB,17,30
HB_16_37,HB_16_37,HB,16,37
HB_17_20,HB_17_20,HB,17,20
HB_16_68,HB_16_68,HB,16,68
HB_20_94,HB_20_94,HB,20,94
HB_17_54,HB_17_54,HB,17,54
HB_20_98,HB_20_98,HB,20,98
HB_16_55,HB_16_55,HB,16,55
HB_20_81,HB_20_81,HB,20,81
HB_17_64,HB_17_64,HB,17,64
HB_18_24,HB_18_24,HB,18,24
HB_20_92,HB_20_92,HB,20,92
HB_16_17,HB_16_17,HB,16,17
HB_18_45,HB_18_45,HB,18,45
HB_22_51,HB_22_51,HB,22,51
HB_16_67,HB_16_67,HB,16,67
HB_18_14,HB_18_14,HB,18,14
HB_16_46,HB_16_46,HB,16,46
HB_18_79,HB_18_79,HB,18,79
HB_17_18,HB_17_18,HB,17,18
HB_16_57,HB_16_57,HB,16,57
HB_17_71,HB_17_71,HB,17,71
HB_18_41,HB_18_41,HB,18,41
HB_18_72,HB_18_72,HB,18,72
HB_18_60,HB_18_60,HB,18,60
HB_16_34,HB_16_34,HB,16,34
HB_16_16,HB_16_16,HB,16,16
HB_16_70,HB_16_70,HB,16,70
HB_18_28,HB_18_28,HB,18,28
HB_16_73,HB_16_73,HB,16,73
HB_17_50,HB_17_50,HB,17,50
HB_20_74,HB_20_74,HB,20,74
HB_22_31,HB_22_31,HB,22,31
HB_17_37,HB_17_37,HB,17,37
HB_16_22,HB_16_22,HB,16,22
HB_17_16,HB_17_16,HB,17,16
HB_17_86,HB_17_86,HB,17,86
HB_20_31,HB_20_31,HB,20,31
HB_22_26,HB_22_26,HB,22,26
HB_22_30,HB_22_30,HB,22,30
HB_17_68,HB_17_68,HB,17,68
HB_18_80,HB_18_80,HB,18,80
HB_17_52,HB_17_52,HB,17,52
HB_16_51,HB_16_51,HB,16,51
HB_16_82,HB_16_82,HB,16,82
HB_16_74,HB_16_74,HB,16,74
HB_22_22,HB_22_22,HB,22,22
HB_18_52,HB_18_52,HB,18,52
HB_22_23,HB_22_23,HB,22,23
HB_17_12,HB_17_12,HB,17,12
HB_16_85,HB_16_85,HB,16,85
HB_18_20,HB_18_20,HB,18,20
HB_18_13,HB_18_13,HB,18,13
HB_18_44,HB_18_44,HB,18,44
HB_18_42,HB_18_42,HB,18,42
HB_22_28,HB_22_28,HB,22,28
HB_17_76,HB_17_76,HB,17,76
HB_17_19,HB_17_19,HB,17,19
HB_18_49,HB_18_49,HB,18,49
HB_16_41,HB_16_41,HB,16,41
HB_17_61,HB_17_61,HB,17,61
HB_20_95,HB_20_95,HB,20,95
HB_17_49,HB_17_49,HB,17,49
HB_18_61,HB_18_61,HB,18,61
HB_18_26,HB_18_26,HB,18,26
HB_22_49,HB_22_49,HB,22,49
HB_16_24,HB_16_24,HB,16,24
HB_18_84,HB_18_84,HB,18,84
HB_22_29,HB_22_29,HB,22,29
HB_18_37,HB_18_37,HB,18,37
HB_18_73,HB_18_73,HB,18,73
HB_19_49,HB_19_49,HB,19,49
HB_18_22,HB_18_22,HB,18,22
