SampleName,BrainRegion,GeneticBackground
RTT1,CB,MECP2_KO
RTT2,CB,MECP2_KO
RTT3,CB,MECP2_KO
RTT4,CB,MECP2_KO
WT1,CB,WT
WT2,CB,WT
WT3,CB,WT
WT4,CB,WT
MeCP2KO1,CTX,MECP2_KO
MeCP2KO2,CTX,MECP2_KO
MeCP2KO3,CTX,MECP2_KO
MeCP2KO4,CTX,MECP2_KO
CTR1,CTX,WT
CTR2,CTX,WT
CTR3,CTX,WT
CTR4,CTX,WT
