"time","altitude","downrange_distance","angle","stage"
"t=148s",57.024,65.349,25.019,"first"
"t=149s",57.827,67.022,24.723,"first"
"t=150s",58.651,68.716,24.454,"first"
"t=151s",59.386,70.428,24.232,"first"
"t=152s",60.176,72.157,24.036,"first"
"t=153s",60.93,73.899,23.869,"first"
"t=154s",61.723,75.655,23.694,"first"
"t=155s",62.501,77.425,23.516,"first"
"t=156s",63.231,79.208,23.317,"first"
"t=157s",64.05,81.006,23.109,"first"
"t=158s",64.806,82.823,22.89,"first"
"t=159s",65.577,84.659,22.669,"first"
"t=160s",66.351,86.517,22.444,"first"
"t=161s",67.151,88.399,22.214,"first"
"t=162s",67.905,90.305,21.989,"first"
"t=163s",68.676,92.236,21.772,"first"
"t=164s",69.475,94.193,21.553,"first"
"t=165s",70.209,96.174,21.336,"first"
"t=166s",71.001,98.181,21.115,"first"
"t=167s",71.774,100.213,20.894,"first"
"t=168s",72.551,102.271,20.674,"first"
"t=169s",73.375,104.354,20.471,"first"
"t=170s",74.151,106.464,20.293,"first"
"t=171s",74.923,108.6,20.124,"first"
"t=172s",75.716,110.763,19.957,"first"
"t=173s",76.504,112.953,19.777,"first"
"t=174s",77.284,115.171,19.585,"first"
"t=175s",78.051,117.417,19.377,"first"
"t=176s",78.875,119.691,19.178,"first"
"t=177s",79.701,121.993,18.997,"first"
"t=178s",80.518,124.326,18.847,"first"
"t=179s",81.299,126.689,18.712,"first"
"t=180s",82.087,129.083,18.578,"first"
"t=181s",82.867,131.506,18.431,"first"
"t=182s",83.673,133.955,18.278,"first"
"t=183s",84.484,136.427,18.116,"first"
"t=184s",85.351,138.918,17.962,"first"
"t=185s",86.151,141.424,17.824,"intermediate"
"t=186s",86.972,143.941,17.699,"intermediate"
"t=187s",87.751,146.464,17.579,"intermediate"
"t=188s",88.551,148.99,17.452,"intermediate"
"t=189s",89.351,151.516,17.315,"intermediate"
"t=190s",90.11,154.041,17.165,"intermediate"
"t=191s",90.877,156.564,17.005,"intermediate"
"t=192s",91.625,159.087,16.836,"intermediate"
"t=193s",92.43,161.61,16.668,"intermediate"
"t=194s",93.122,164.134,16.504,"intermediate"
"t=195s",93.926,166.661,16.346,"intermediate"
"t=196s",94.651,169.192,16.188,"second"
"t=197s",95.351,171.727,16.035,"second"
"t=198s",96.101,174.267,15.872,"second"
"t=199s",96.777,176.813,15.707,"second"
"t=200s",97.474,179.366,15.534,"second"
"t=201s",98.229,181.927,15.373,"second"
"t=202s",98.908,184.496,15.222,"second"
"t=203s",99.603,187.072,15.085,"second"
"t=204s",100.303,189.655,14.951,"second"
"t=205s",100.962,192.246,14.816,"second"
"t=206s",101.639,194.844,14.677,"second"
"t=207s",102.34,197.45,14.535,"second"
"t=208s",103.015,200.063,14.391,"second"
"t=209s",103.679,202.683,14.248,"second"
"t=210s",104.348,205.311,14.105,"second"
"t=211s",104.989,207.947,13.958,"second"
"t=212s",105.632,210.591,13.803,"second"
"t=213s",106.303,213.242,13.644,"second"
"t=214s",106.945,215.901,13.484,"second"
"t=215s",107.563,218.568,13.327,"second"
"t=216s",108.189,221.244,13.181,"second"
"t=217s",108.808,223.926,13.044,"second"
"t=218s",109.419,226.617,12.916,"second"
